contact_id	error_field	error_message

3	email	'art@venere'  invalid format    
6	mobilePhone	'419503-2484'  invalid format    XXX-XXX-XXX
10	address	'228 Runamuck Pl #2808'   length is not over expected length  20
12	state	'NYX'  incorrect state code
19	mobilePhone	'313-288-17937'  invalid format    XXX-XXX-XXX
20	firstName	''  Do not leave field empty.
27	dayOfBirth	'03/14/193'  Datetime is not format    MM/dd/yyyy
28	dayOfBirth	'08/10/45'  Datetime is not format    MM/dd/yyyy
29	lastName	'KuskoKuskoKusko'   length is not over expected length  10
30	dayOfBirth	'9/6/76'  Datetime is not format    MM/dd/yyyy
35	address	'2742 Distribution Way'   length is not over expected length  20
39	email	'valentine_gilliangmail.com'  invalid format    
40	state	'KSX'  incorrect state code
48	lastName	''  Do not leave field empty.
53	address	'98839 Hawthorne Blvd #6101'   length is not over expected length  20
55	mobilePhone	'9081-877-6135'  invalid format    XXX-XXX-XXX
57	address	'14288 Foster Ave #4121'   length is not over expected length  20
57	state	'PAX'  incorrect state code
57	firstName	''  Do not leave field empty.
60	address	'14302 Pennsylvania Ave'   length is not over expected length  20
60	city	'Huntingdon Valley'   length is not over expected length  15
62	address	'53075 Sw 152nd Ter #615'   length is not over expected length  20
62	zipCode	'883154'  invalid format    
62	state	'NJX'  incorrect state code
73	lastName	''  Do not leave field empty.
75	address	'2737 Pistorio Rd #9230'   length is not over expected length  20
76	state	'NYX'  incorrect state code
80	mobilePhone	'973-9271-3447'  invalid format    XXX-XXX-XXX
82	email	'timothy_mulqueen@mulqueen'  invalid format    
85	zipCode	'444122'  invalid format    
89	address	'3777 E Richmond St #900'   length is not over expected length  20
89	lastName	''  Do not leave field empty.
91	address	'4800 Black Horse Pike'   length is not over expected length  20
94	address	'1747 Calle Amanecer #2'   length is not over expected length  20
95	address	'99385 Charity St #840'   length is not over expected length  20
96	mobilePhone	'510503-7169'  invalid format    XXX-XXX-XXX
96	state	'CAX'  incorrect state code
104	firstName	''  Do not leave field empty.
110	lastName	'Steffensmeier'   length is not over expected length  10
113	address	'2239 Shawnee Mission Pky'   length is not over expected length  20
113	zipCode	'3733588'  invalid format    
113	state	'TNX'  incorrect state code
116	address	'55892 Jacksonville Rd'   length is not over expected length  20
117	address	'5 N Cleveland Massillon Rd'   length is not over expected length  20
119	mobilePhone	'229-7353378'  invalid format    XXX-XXX-XXX
120	address	'8 County Center Dr #647'   length is not over expected length  20
123	address	'52777 Leaders Heights Rd'   length is not over expected length  20
124	address	'72868 Blackington Ave'   length is not over expected length  20
125	lastName	''  Do not leave field empty.
126	address	'83 County Road 437 #8581'   length is not over expected length  20
127	state	'NJX'  incorrect state code
135	lastName	'Mirafuentes'   length is not over expected length  10
135	email	'becky.mirafuentes'  invalid format    
137	address	'4 Warehouse Point Rd #7'   length is not over expected length  20
138	state	'ORX'  incorrect state code
141	address	'61 13 Stoneridge #835'   length is not over expected length  20
142	firstName	''  Do not leave field empty.
144	zipCode	'422'  invalid format    
146	address	'60480 Old Us Highway 51'   length is not over expected length  20
147	lastName	''  Do not leave field empty.
152	address	'12270 Caton Center Dr'   length is not over expected length  20
161	state	'MNX'  incorrect state code
162	state	''  incorrect state code
163	mobilePhone	'985890-7262'  invalid format    XXX-XXX-XXX
165	zipCode	'4535222'  invalid format    
167	dayOfBirth	'5/24/1991'  Datetime is not format    MM/dd/yyyy
174	address	'287 Youngstown Warren Rd'   length is not over expected length  20
175	state	'NYX'  incorrect state code
177	address	'2887 Knowlton St #5435'   length is not over expected length  20
179	address	'3717 Hamann Industrial Pky'   length is not over expected length  20
186	zipCode	'22'  invalid format    
189	mobilePhone	'201-5887810'  invalid format    XXX-XXX-XXX
